Route Name,Route Link,Bus Name,Bus Type,Departing Time,Reaching Time,Duration Time,Star Rating,Price,Seats Available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35188,VENNELA (A.C. SLEEPER),00:10,05:15,05h 05m,3.7,795,"17 Seats available
3 Single"
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3563,Super Luxury (Non AC Seater 2+2 Push Back),00:30,06:45,06h 15m,3.1,412,"33 Seats available
16 Window"
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3058,VENNELA (A.C. SLEEPER),01:00,07:00,06h 00m,3.9,781,"24 Seats available
8 Single"
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35266,VENNELA (A.C. SLEEPER),01:10,06:00,04h 50m,3.1,795,"20 Seats available
2 Single"
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3590,Super Luxury (Non AC Seater 2+2 Push Back),01:15,07:25,06h 10m,4.1,412,"33 Seats available
16 Window"
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2538,Super Luxury (Non AC Seater 2+2 Push Back),00:15,04:15,04h 00m,3.8,281,"16 Seats available
6 Window"
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2837,Super Luxury (Non AC Seater 2+2 Push Back),00:30,03:30,03h 00m,4.0,281,"34 Seats available
17 Window"
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 23551,Super Luxury (Non AC Seater 2+2 Push Back),00:45,04:45,04h 00m,2.9,281,"34 Seats available
17 Window"
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2536,INDRA(A.C. Seater),01:15,04:30,03h 15m,4.3,340,"36 Seats available
18 Window"
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 23537,Super Luxury (Non AC Seater 2+2 Push Back),01:30,05:30,04h 00m,4.7,281,"24 Seats available
11 Window"
Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,APSRTC - 23892,Super Luxury (Non AC Seater 2+2 Push Back),00:25,04:25,04h 00m,4.8,281,"32 Seats available
16 Window"
Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,APSRTC - 2768,Super Luxury (Non AC Seater 2+2 Push Back),01:00,05:00,04h 00m,4.6,281,"22 Seats available
10 Window"
Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,APSRTC - 2858,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",01:30,05:10,03h 40m,3.8,269,"35 Seats available
17 Window"
Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,APSRTC - 3473,Super Luxury (Non AC Seater 2+2 Push Back),03:30,08:00,04h 30m,4.3,281,"33 Seats available
16 Window"
Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,APSRTC - 23552,Super Luxury (Non AC Seater 2+2 Push Back),04:00,08:30,04h 30m,4.7,281,"34 Seats available
17 Window"
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 5118,Super Luxury (Non AC Seater 2+2 Push Back),01:30,04:20,02h 50m,2.3,277,"27 Seats available
11 Window"
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 9035,Express(Non AC Seater),04:00,07:00,03h 00m,4.0,186,"29 Seats available
8 Window"
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 9057,Express(Non AC Seater),04:30,07:45,03h 15m,3.6,186,"33 Seats available
6 Window"
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 9129,Express(Non AC Seater),05:00,08:25,03h 25m,4.0,186,"30 Seats available
6 Window"
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 9037,Express(Non AC Seater),05:30,08:55,03h 25m,3.8,186,"26 Seats available
5 Window"
Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,APSRTC - 5225,Super Luxury (Non AC Seater 2+2 Push Back),00:25,07:00,06h 35m,4.6,439,"25 Seats available
10 Window"
Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,APSRTC - 4609,Super Luxury (Non AC Seater 2+2 Push Back),00:45,05:35,04h 50m,3.8,439,"33 Seats available
16 Window"
Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,APSRTC - 6014,Super Luxury (Non AC Seater 2+2 Push Back),04:30,11:00,06h 30m,3.6,439,"34 Seats available
17 Window"
Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,APSRTC - 50012,Super Luxury (Non AC Seater 2+2 Push Back),05:30,12:00,06h 30m,2.8,439,"34 Seats available
17 Window"
Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,APSRTC - 6004,Super Luxury (Non AC Seater 2+2 Push Back),07:00,13:30,06h 30m,2.8,439,"34 Seats available
17 Window"
Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,APSRTC - 6532,Super Luxury (Non AC Seater 2+2 Push Back),00:30,05:45,05h 15m,3.7,345,"9 Seats available
3 Window"
Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,APSRTC - 6457,Super Luxury (Non AC Seater 2+2 Push Back),00:45,04:06,03h 21m,3.5,340,"10 Seats available
3 Window"
Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,APSRTC - 6541,STAR LINER(NON-AC SLEEPER 2+1),01:30,06:00,04h 30m,3.7,412,"4 Seats available
2 Window"
Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,APSRTC - 6466,Super Luxury (Non AC Seater 2+2 Push Back),02:15,06:35,04h 20m,4.2,340,"14 Seats available
6 Window"
Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,APSRTC - 6711,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:15,09:50,04h 35m,4.7,340,"24 Seats available
9 Window"
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 5051,VENNELA (A.C. SLEEPER),00:30,04:50,04h 20m,3.3,600,"9 Seats available
1 Single"
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 5095,Super Luxury (Non AC Seater 2+2 Push Back),00:30,04:45,04h 15m,1.8,398,"25 Seats available
9 Window"
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 5091,Super Luxury (Non AC Seater 2+2 Push Back),00:50,05:05,04h 15m,3.6,398,"24 Seats available
9 Window"
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 5650,Express(Non AC Seater),04:30,10:25,05h 55m,3.2,294,"29 Seats available
6 Window"
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 47576,Super Luxury (Non AC Seater 2+2 Push Back),06:00,12:00,06h 00m,2.9,398,"33 Seats available
16 Window"
Visakhapatnam to Vijayawada,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,APSRTC - 4512,Super Luxury (Non AC Seater 2+2 Push Back),00:15,09:30,09h 15m,3.8,605,"34 Seats available
17 Window"
Visakhapatnam to Vijayawada,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,APSRTC - 4410,Super Luxury (Non AC Seater 2+2 Push Back),01:15,09:54,08h 39m,2.5,605,"33 Seats available
16 Window"
Visakhapatnam to Vijayawada,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,APSRTC - 4446,Super Luxury (Non AC Seater 2+2 Push Back),02:15,10:54,08h 39m,2.1,605,"33 Seats available
16 Window"
Visakhapatnam to Vijayawada,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,APSRTC - 4382,Super Luxury (Non AC Seater 2+2 Push Back),03:15,11:54,08h 39m,3.4,605,"33 Seats available
16 Window"
Visakhapatnam to Vijayawada,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,APSRTC - 3465,Super Luxury (Non AC Seater 2+2 Push Back),04:00,14:00,10h 00m,3.2,631,"34 Seats available
17 Window"
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,APSRTC - 45775,Super Luxury (Non AC Seater 2+2 Push Back),10:00,17:35,07h 35m,3.7,555,"8 Seats available
2 Window"
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,APSRTC - 5380,Super Luxury (Non AC Seater 2+2 Push Back),19:00,05:06,10h 06m,3.7,624,"21 Seats available
10 Window"
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,APSRTC - 5866,Super Luxury (Non AC Seater 2+2 Push Back),19:45,05:46,10h 01m,4.8,602,"24 Seats available
9 Window"
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,APSRTC - 5913,Super Luxury (Non AC Seater 2+2 Push Back),20:30,05:36,09h 06m,3.7,590,"23 Seats available
9 Window"
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,APSRTC - 45901,Super Luxury (Non AC Seater 2+2 Push Back),21:00,04:20,07h 20m,4.1,555,"24 Seats available
10 Window"
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2368,Low Floor AC Seater 2+2,00:30,05:49,05h 19m,2.4,383,"11 Seats available
3 Window"
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2072,Super Deluxe Non AC Seater Air Bus (2+2),00:30,04:50,04h 20m,3.2,268,4 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2370,Low Floor AC Seater 2+2,04:30,10:14,05h 44m,4.6,383,2 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 1865,Low Floor AC Seater 2+2,06:30,12:15,05h 45m,4.6,383,"15 Seats available
3 Window"
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 794,Super Fast Non AC Seater (2+3),06:40,12:30,05h 50m,3.2,269,42 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35188,VENNELA (A.C. SLEEPER),00:10,05:15,05h 05m,3.7,795,"16 Seats available
3 Single"
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3563,Super Luxury (Non AC Seater 2+2 Push Back),00:30,06:45,06h 15m,3.1,412,"33 Seats available
16 Window"
